query_id,method,training_size,min_confidence,max_confidence
1-0,cardinality,50,0.47860852,0.50707614
1-0,cardinality,400,0.42322358,0.60515094
1-0,csv,50,0.48906437,0.54094225
1-0,csv,400,0.6273909,0.6721993
1-0,kepler,50,0.53801537,0.5806854
1-0,kepler,400,0.5149704,0.6722536
2-0,cardinality,50,0.5062685,0.53618914
2-0,cardinality,400,0.45248,0.52167857
2-0,csv,50,0.4696928,0.52236694
2-0,csv,400,0.4761939,0.5085911
2-0,kepler,50,0.52499497,0.5619822
2-0,kepler,400,0.6887436,0.71213675
3-0,cardinality,50,0.49841243,0.54082257
3-0,cardinality,400,0.40887544,0.45816144
3-0,csv,50,0.48815274,0.54135895
3-0,kepler,50,0.4460769,0.4810786
4-0,cardinality,50,0.5133375,0.54924995
4-0,cardinality,400,0.40223527,0.43703267
4-0,csv,50,0.528536,0.5556876
4-0,kepler,50,0.4971931,0.51934123
4-0,kepler,400,0.4704397,0.5531224
5-0,cardinality,50,0.4183726,0.4622005
5-0,cardinality,400,0.7232665,0.75349873
5-0,csv,50,0.5157012,0.5512013
5-0,csv,400,0.5116617,0.6612428
5-0,kepler,50,0.5435826,0.5718221
5-0,kepler,400,0.5285374,0.6693711
6-0,cardinality,50,0.5276647,0.5602783
6-0,csv,50,0.46645153,0.49832514
6-0,kepler,50,0.5608557,0.6039815
7-0,cardinality,50,0.52636707,0.57116944
7-0,cardinality,400,0.5393938,0.63353187
7-0,csv,50,0.56287515,0.59829175
7-0,csv,400,0.75000626,0.78664565
7-0,kepler,50,0.5288665,0.56534153
7-0,kepler,400,0.6180577,0.67086476
8-0,cardinality,50,0.5359949,0.59653175
8-0,csv,50,0.5221008,0.5715793
8-0,kepler,50,0.47617882,0.54496604
9-0,cardinality,50,0.4586672,0.50464725
9-0,csv,50,0.5200684,0.56111616
9-0,kepler,50,0.45692533,0.5078413
10-0,cardinality,50,0.53567404,0.5726873
10-0,csv,50,0.4853186,0.51021224
10-0,kepler,50,0.47380212,0.5423258
11-0,cardinality,50,0.46968278,0.52571446
11-0,csv,50,0.52712953,0.5610641
11-0,kepler,50,0.53492725,0.57376415
12-0,cardinality,50,0.47809112,0.51284415
12-0,csv,50,0.5069502,0.5660657
12-0,kepler,50,0.5005329,0.54335296
13-0,cardinality,50,0.47929403,0.53315014
13-0,csv,50,0.5228326,0.56160253
13-0,kepler,50,0.5617287,0.5889401
14-0,cardinality,50,0.48733395,0.5178026
14-0,csv,50,0.4742886,0.5281488
14-0,kepler,50,0.5140825,0.55024064
15-0,cardinality,50,0.47470742,0.5090247
15-0,csv,50,0.44997352,0.4792694
15-0,kepler,50,0.49793267,0.533732
16-0,cardinality,50,0.5375057,0.5537257
16-0,csv,50,0.53173035,0.5338473
16-0,kepler,50,0.4797934,0.4840546
17-0,cardinality,50,0.5390526,0.5751368
17-0,csv,50,0.48258415,0.5262749
17-0,kepler,50,0.49419713,0.5304719
18-0,cardinality,50,0.4997117,0.5496188
18-0,csv,50,0.55955786,0.58923596
18-0,kepler,50,0.51872325,0.5580798
19-0,cardinality,50,0.4731154,0.5238861
19-0,csv,50,0.5453067,0.61290836
19-0,kepler,50,0.4869361,0.53113276
20-0,cardinality,50,0.5243059,0.597432
20-0,csv,50,0.48853105,0.52416235
20-0,kepler,50,0.5477741,0.61377454
21-0,cardinality,50,0.47907797,0.50984126
21-0,csv,50,0.5611215,0.59998137
21-0,kepler,50,0.49395677,0.53017753
22-0,cardinality,50,0.50932944,0.542354
22-0,csv,50,0.4912556,0.5239103
22-0,kepler,50,0.5091767,0.5482145
23-0,cardinality,50,0.4822986,0.5169157
23-0,csv,50,0.50369793,0.5511672
23-0,kepler,50,0.51751995,0.57089543
24-0,cardinality,50,0.49632388,0.5392324
24-0,csv,50,0.49378854,0.5264136
24-0,kepler,50,0.51190954,0.5693511
25-0,cardinality,50,0.49898046,0.53001964
25-0,csv,50,0.57040846,0.6076994
25-0,kepler,50,0.5629478,0.5944433
26-0,cardinality,50,0.50143516,0.5267633
26-0,csv,50,0.5025907,0.5548617
26-0,kepler,50,0.526502,0.5765537
27-0,cardinality,50,0.49248832,0.536569
27-0,csv,50,0.48512214,0.532272
27-0,kepler,50,0.4876879,0.5295941
28-0,cardinality,50,0.52828246,0.56006855
28-0,csv,50,0.50671893,0.5452677
28-0,kepler,50,0.5056962,0.5590375
30-0,cardinality,50,0.5415851,0.5739111
30-0,csv,50,0.54748607,0.5845121
30-0,kepler,50,0.5175129,0.56194973
31-0,cardinality,50,0.48565027,0.52946085
31-0,csv,50,0.48037466,0.5332654
31-0,kepler,50,0.5392367,0.58160824
32-0,cardinality,50,0.5518285,0.5518285
32-0,csv,50,0.58607566,0.58607566
32-0,kepler,50,0.5246919,0.5246919
33-0,cardinality,50,0.5038556,0.5428354
33-0,csv,50,0.49786648,0.5324442
33-0,kepler,50,0.47623926,0.5025136
