query_id,method,candidate plan generation time (mins),robust plan set generation (mins),model prediction time (ms),model train time (ms),model predict time (ms)
1-0,cardinality,2.11,88.87,7.86,7.15,53.19
1-0,kepler,2.34,211.91,7.53,7.47,53.89
1-0,csv,1.58,31.68,7.5,7.21,54.59
10-0,cardinality,8.92,875.29,3.25,7.77,55.72
10-0,kepler,7.88,949.59,3.11,7.59,56.03
10-0,csv,4.15,171.99,2.93,7.38,53.9
11-0,cardinality,6.13,56.78,3.36,7.94,68.36
11-0,kepler,9.5,95.63,3.45,8.11,69.02
11-0,csv,5.33,28.4,3.19,7.95,71.25
12-0,cardinality,7.31,313.37,5.73,10.39,68.93
12-0,kepler,6.03,365.45,5.7,10.53,71.31
12-0,csv,7.08,322.54,5.75,10.49,69.64
13-0,cardinality,8.85,487.92,7.75,7.4,50.16
13-0,kepler,8.1,151.9,7.58,7.17,54.32
13-0,csv,5.17,295.53,7.63,7.09,54.68
14-0,cardinality,4.89,88.29,5.38,10.41,64.39
14-0,kepler,5.23,34.94,5.57,10.32,66.94
14-0,csv,4.64,119.96,5.3,10.09,66.3
15-0,cardinality,14.13,521.38,5.78,10.55,65.04
15-0,kepler,17.58,1540.58,5.68,10.52,65.9
15-0,csv,10.18,202.08,5.59,10.38,63.1
16-0,cardinality,8.08,415.96,7.68,7.32,49.6
16-0,kepler,7.69,99.21,7.52,7.26,50.42
16-0,csv,2.43,51.59,7.22,6.88,51.06
17-0,cardinality,6.91,530.57,7.93,7.65,45.5
17-0,kepler,6.12,179.09,8.0,7.56,46.49
17-0,csv,6.77,957.82,7.72,7.42,80.0
18-0,cardinality,5.11,729.33,8.97,8.12,59.13
18-0,kepler,6.94,2345.07,8.26,8.13,55.66
18-0,csv,6.35,2445.58,8.35,8.18,56.29
19-0,cardinality,15.87,137.56,15.23,14.6,123.87
19-0,kepler,17.72,571.74,15.47,14.98,89.12
19-0,csv,17.29,341.15,15.32,14.77,88.06
2-0,cardinality,2.51,116.74,6.73,6.5,41.96
2-0,kepler,3.14,44.22,7.02,6.59,39.85
2-0,csv,1.5,20.87,6.9,6.67,37.14
20-0,cardinality,11.59,173.9,5.03,9.71,71.21
20-0,kepler,12.19,118.79,4.94,9.77,69.3
20-0,csv,10.4,368.36,4.8,9.42,71.14
21-0,cardinality,11.61,77.38,6.66,10.91,72.59
21-0,kepler,14.29,63.3,5.99,10.85,75.7
21-0,csv,11.49,50.25,5.89,10.85,74.5
22-0,cardinality,23.33,312.24,5.91,11.14,80.58
22-0,kepler,24.13,145.76,5.84,11.24,79.23
22-0,csv,22.65,400.47,6.0,11.14,78.62
23-0,cardinality,33.91,1632.78,13.5,12.9,68.69
23-0,kepler,33.22,2094.67,14.03,12.73,70.38
23-0,csv,25.47,247.52,13.45,12.85,73.14
24-0,cardinality,53.16,978.01,9.15,14.24,82.11
24-0,kepler,52.99,133.53,9.12,14.23,80.51
24-0,csv,54.19,1040.65,9.16,14.25,79.43
25-0,cardinality,10.39,400.62,5.71,10.06,59.2
25-0,kepler,10.13,100.52,5.73,10.17,59.21
25-0,csv,7.77,327.76,5.72,10.1,59.6
26-0,cardinality,38.76,210.33,4.44,9.31,78.57
26-0,kepler,36.87,84.94,4.41,9.15,74.15
26-0,csv,40.49,370.46,4.46,9.46,73.15
27-0,cardinality,64.91,78.32,6.09,11.55,85.71
27-0,kepler,56.23,95.3,6.08,11.34,85.27
27-0,csv,70.01,72.77,6.1,11.24,84.17
28-0,cardinality,156.34,193.07,6.23,11.62,88.21
28-0,kepler,158.19,142.68,6.26,11.38,84.42
28-0,csv,143.38,302.74,6.36,11.49,88.68
3-0,cardinality,1.86,112.39,5.83,10.1,44.98
3-0,kepler,0.99,79.53,5.26,9.27,41.71
3-0,csv,1.0,12.88,5.32,9.23,44.34
30-0,cardinality,55.22,391.67,5.97,10.81,72.41
30-0,kepler,55.92,131.29,5.94,11.17,74.08
30-0,csv,59.84,483.37,6.1,10.91,75.09
31-0,cardinality,26.71,291.26,5.87,10.53,63.13
31-0,kepler,38.08,192.85,5.92,10.68,64.09
31-0,csv,27.45,520.97,5.81,10.28,63.23
32-0,cardinality,2.58,19.4,2.27,6.42,35.86
32-0,kepler,4.86,60.11,2.3,6.69,34.07
32-0,csv,1.13,3.77,2.21,6.34,34.15
33-0,cardinality,115.54,195.18,8.73,8.27,73.99
33-0,kepler,105.98,270.55,3.39,8.06,72.44
33-0,csv,106.06,218.22,8.98,8.07,76.48
4-0,cardinality,2.6,80.04,2.82,6.99,50.46
4-0,kepler,3.49,164.79,2.8,6.99,49.59
4-0,csv,0.88,11.4,2.7,6.92,50.16
5-0,cardinality,1.8,27.24,10.82,9.42,56.1
5-0,kepler,2.34,94.82,10.22,9.56,54.61
5-0,csv,1.37,16.68,9.91,9.63,54.32
6-0,cardinality,2.45,221.01,3.53,7.34,44.41
6-0,kepler,3.12,71.7,3.36,7.49,43.53
6-0,csv,2.62,159.22,3.33,7.43,45.69
7-0,cardinality,4.16,146.58,8.96,8.54,64.63
7-0,kepler,3.9,117.94,9.06,8.41,67.4
7-0,csv,4.03,126.91,8.68,8.28,105.02
8-0,cardinality,4.8,165.3,4.72,9.39,65.03
8-0,kepler,6.64,308.54,4.66,9.29,99.89
8-0,csv,4.44,70.05,4.59,9.12,64.51
9-0,cardinality,7.78,291.86,4.27,9.12,73.68
9-0,kepler,11.86,1274.06,4.11,9.15,70.79
9-0,csv,7.37,150.2,4.07,9.02,75.49
