query_id,method,candidate plan generation time (mins),robust plan set generation (mins),model prediction time (ms)
1-0,cardinality,3.67,806.12,10.05
1-0,kepler,3.93,1506.61,9.68
1-0,csv,3.28,375.5,8.61
2-0,cardinality,4.89,355.08,7.49
2-0,kepler,5.62,275.36,8.84
2-0,csv,1.76,36.21,6.91
3-0,cardinality,3.9,1144.12,7.0
4-0,cardinality,5.57,1190.89,9.61
4-0,kepler,7.37,1294.66,7.79
5-0,cardinality,3.21,337.11,12.22
5-0,kepler,4.42,714.8,12.1
5-0,csv,2.83,110.34,10.95
7-0,cardinality,9.01,1457.28,11.28
7-0,kepler,7.68,1229.74,11.1
7-0,csv,7.82,859.4,10.71
