query-id,robustness,db_instance,method,training_size,plan_cover_length
3-0,category,1,cardinality,50,5
3-0,category,1,kepler,50,2
3-0,category,1,csv,50,1
4-0,category,1,cardinality,50,6
4-0,category,1,kepler,50,4
4-0,category,1,csv,50,2
14-0,category,1,cardinality,50,4
14-0,category,1,kepler,50,1
14-0,category,1,csv,50,4
17-0,category,1,cardinality,50,3
17-0,category,1,kepler,50,4
17-0,category,1,csv,50,3
19-0,category,1,cardinality,50,3
19-0,category,1,kepler,50,7
19-0,category,1,csv,50,3
30-0,category,1,cardinality,50,5
30-0,category,1,kepler,50,3
30-0,category,1,csv,50,6
3-0,category,4,cardinality,50,6
3-0,category,4,kepler,50,4
3-0,category,4,csv,50,2
4-0,category,4,cardinality,50,4
4-0,category,4,kepler,50,3
4-0,category,4,csv,50,2
14-0,category,4,cardinality,50,5
14-0,category,4,kepler,50,3
17-0,category,4,cardinality,50,6
17-0,category,4,kepler,50,4
17-0,category,4,csv,50,3
30-0,category,4,cardinality,50,6
30-0,category,4,kepler,50,2
30-0,category,4,csv,50,5
3-0,random,1,cardinality,50,5
3-0,random,1,kepler,50,2
3-0,random,1,csv,50,1
4-0,random,1,cardinality,50,5
4-0,random,1,kepler,50,5
4-0,random,1,csv,50,2
14-0,random,1,cardinality,50,2
14-0,random,1,kepler,50,2
14-0,random,1,csv,50,3
17-0,random,1,cardinality,50,6
17-0,random,1,kepler,50,4
17-0,random,1,csv,50,5
19-0,random,1,cardinality,50,3
19-0,random,1,kepler,50,5
19-0,random,1,csv,50,3
30-0,random,1,cardinality,50,7
30-0,random,1,kepler,50,1
30-0,random,1,csv,50,4
3-0,random,4,cardinality,50,5
3-0,random,4,kepler,50,2
3-0,random,4,csv,50,1
4-0,random,4,cardinality,50,6
4-0,random,4,kepler,50,4
4-0,random,4,csv,50,1
14-0,random,4,cardinality,50,2
14-0,random,4,kepler,50,1
14-0,random,4,csv,50,3
17-0,random,4,cardinality,50,3
17-0,random,4,kepler,50,4
17-0,random,4,csv,50,4
30-0,random,4,cardinality,50,9
30-0,random,4,kepler,50,1
30-0,random,4,csv,50,3
3-0,sliding,1,cardinality,50,4
3-0,sliding,1,kepler,50,3
3-0,sliding,1,csv,50,1
4-0,sliding,1,cardinality,50,6
4-0,sliding,1,kepler,50,3
4-0,sliding,1,csv,50,2
14-0,sliding,1,cardinality,50,3
14-0,sliding,1,kepler,50,1
14-0,sliding,1,csv,50,6
17-0,sliding,1,cardinality,50,6
17-0,sliding,1,kepler,50,5
17-0,sliding,1,csv,50,3
30-0,sliding,1,cardinality,50,7
30-0,sliding,1,kepler,50,1
30-0,sliding,1,csv,50,4
3-0,sliding,4,cardinality,50,4
3-0,sliding,4,kepler,50,1
3-0,sliding,4,csv,50,1
4-0,sliding,4,cardinality,50,7
4-0,sliding,4,kepler,50,5
4-0,sliding,4,csv,50,1
14-0,sliding,4,cardinality,50,2
14-0,sliding,4,kepler,50,1
14-0,sliding,4,csv,50,4
17-0,sliding,4,cardinality,50,5
17-0,sliding,4,kepler,50,4
17-0,sliding,4,csv,50,3
19-0,sliding,4,cardinality,50,3
19-0,sliding,4,kepler,50,2
19-0,sliding,4,csv,50,2
30-0,sliding,4,cardinality,50,7
30-0,sliding,4,kepler,50,2
30-0,sliding,4,csv,50,4
