bquery_id,method,param_counter
1-0,cardinality,303
1-0,kepler,342
1-0,csv,279
2-0,cardinality,319
2-0,kepler,250
2-0,csv,259
3-0,cardinality,263
3-0,kepler,250
3-0,csv,252
4-0,cardinality,266
4-0,kepler,250
4-0,csv,284
5-0,cardinality,483
5-0,kepler,250
5-0,csv,3927
6-0,cardinality,328
6-0,kepler,250
6-0,csv,264
7-0,cardinality,1320
7-0,kepler,250
7-0,csv,333
8-0,cardinality,2366
8-0,kepler,813
8-0,csv,473
9-0,cardinality,10728
9-0,kepler,250
9-0,csv,1895
10-0,cardinality,4549
10-0,kepler,250
10-0,csv,1467
11-0,cardinality,1276
11-0,kepler,558
11-0,csv,842
12-0,cardinality,2366
12-0,kepler,708
12-0,csv,1711
13-0,cardinality,344
13-0,kepler,250
13-0,csv,254
14-0,cardinality,3865
14-0,kepler,590
14-0,csv,1046
15-0,cardinality,2639
15-0,kepler,250
15-0,csv,8612
16-0,cardinality,557
16-0,kepler,250
16-0,csv,376
17-0,cardinality,441
17-0,kepler,250
17-0,csv,266
18-0,cardinality,698
18-0,kepler,250
18-0,csv,269
19-0,cardinality,15989
19-0,kepler,250
19-0,csv,4861
20-0,cardinality,478
20-0,kepler,258
20-0,csv,504
21-0,cardinality,1988
21-0,kepler,2567
21-0,csv,1116
22-0,cardinality,5236
22-0,kepler,3163
22-0,csv,1637
23-0,cardinality,1580
23-0,kepler,250
23-0,csv,3247
24-0,cardinality,45310
24-0,kepler,250
24-0,csv,4160
25-0,cardinality,5410
25-0,kepler,250
25-0,csv,1006
26-0,cardinality,616
26-0,kepler,318
26-0,csv,1148
27-0,cardinality,14396
27-0,kepler,7777
27-0,csv,15076
28-0,cardinality,8707
28-0,kepler,9082
28-0,csv,2484
30-0,cardinality,5170
30-0,kepler,250
30-0,csv,3090
31-0,cardinality,4429
31-0,kepler,250
31-0,csv,1189
32-0,cardinality,284
32-0,kepler,250
32-0,csv,260
33-0,cardinality,3155
33-0,kepler_old,262
33-0,csv,876
33-0,kepler,257
,,
013,cardinality,250
018,cardinality,586
019,cardinality,291
025,cardinality,82888
027,cardinality,254
040,cardinality,1574
050,cardinality,298
072,cardinality,1622
084,cardinality,250
085,cardinality,271
091,cardinality,528
099,cardinality,483
100,cardinality,493
,,
013,gaussian,266
018,gaussian,785
019,gaussian,404
025,gaussian,359
027,gaussian,1740
040,gaussian,716
050,gaussian,734
072,gaussian,360
084,gaussian,250
085,gaussian,262
091,gaussian,321
099,gaussian,250
100,gaussian,336
,,
