query-id,method,training_size,plan_cover_length
013,cardinality,50,1
013,gaussian,50,1
018,cardinality,50,1
018,gaussian,50,1
019,cardinality,50,1
019,gaussian,50,1
025,cardinality,50,3
025,gaussian,50,2
027,cardinality,50,1
027,gaussian,50,1
040,cardinality,50,1
040,gaussian,50,1
050,cardinality,50,1
050,gaussian,50,1
072,cardinality,50,1
072,gaussian,50,1
084,cardinality,50,1
084,gaussian,50,1
085,cardinality,50,1
085,gaussian,50,1
091,cardinality,50,1
091,gaussian,50,1
099,cardinality,50,1
099,gaussian,50,1
100,cardinality,50,3
100,gaussian,50,2
