["ca_city = 'Glasgow'", "ib_lower_bound >= 90001"],
["ca_city = 'Forestville'", "ib_lower_bound >= 20001"],
["ca_city = 'Hebron'", "ib_lower_bound >= 10001"],
["ca_city = 'Piney Grove'", "ib_lower_bound >= 80001"],
["ca_city = 'Sherwood Forest'", "ib_lower_bound >= 190001"],
["ca_city = 'Norwood'", "ib_lower_bound >= 80001"],
["ca_city = 'Forestville'", "ib_lower_bound >= 130001"],
["ca_city = 'Hilltop'", "ib_lower_bound >= 140001"],
["ca_city = 'Bennett'", "ib_lower_bound >= 70001"],
["ca_city = 'Pittsburg'", "ib_lower_bound >= 40001"],
["ca_city = 'Oak Park'", "ib_lower_bound >= 30001"],
["ca_city = 'Sherwood Forest'", "ib_lower_bound >= 80001"],
["ca_city = 'Saint Clair'", "ib_lower_bound >= 110001"],
["ca_city = 'Richland'", "ib_lower_bound >= 40001"],
["ca_city = 'Forest Park'", "ib_lower_bound >= 170001"],
["ca_city = 'Eden'", "ib_lower_bound >= 100001"],
["ca_city = 'Tabor'", "ib_lower_bound >= 120001"],
["ca_city = 'Shelby'", "ib_lower_bound >= 130001"],
["ca_city = 'Helena'", "ib_lower_bound >= 70001"],
["ca_city = 'Quincy'", "ib_lower_bound >= 40001"],
["ca_city = 'Fruitland'", "ib_lower_bound >= 30001"],
["ca_city = 'Calhoun'", "ib_lower_bound >= 170001"],
["ca_city = 'Allen'", "ib_lower_bound >= 110001"],
["ca_city = 'Northwood'", "ib_lower_bound >= 190001"],
["ca_city = 'Redland'", "ib_lower_bound >= 100001"],
["ca_city = 'Sherwood Forest'", "ib_lower_bound >= 40001"],
["ca_city = 'Northwood'", "ib_lower_bound >= 180001"],
["ca_city = 'New Hope'", "ib_lower_bound >= 40001"],
["ca_city = 'Five Points'", "ib_lower_bound >= 30001"],
["ca_city = 'Crystal Springs'", "ib_lower_bound >= 140001"],
["ca_city = 'Watson'", "ib_lower_bound >= 100001"],
["ca_city = 'Tyler'", "ib_lower_bound >= 140001"],
["ca_city = 'Sherwood Forest'", "ib_lower_bound >= 120001"],
["ca_city = 'Wilton'", "ib_lower_bound >= 50001"],
["ca_city = 'Northwood'", "ib_lower_bound >= 0"],
["ca_city = 'Cherry Grove'", "ib_lower_bound >= 0"],
["ca_city = 'Redland'", "ib_lower_bound >= 100001"],
["ca_city = 'Northwood'", "ib_lower_bound >= 10001"],
["ca_city = 'Austin'", "ib_lower_bound >= 160001"],
["ca_city = 'Northwood'", "ib_lower_bound >= 50001"],
["ca_city = 'Doyle'", "ib_lower_bound >= 110001"],
["ca_city = 'Pomona'", "ib_lower_bound >= 130001"],
["ca_city = 'Sherwood Forest'", "ib_lower_bound >= 40001"],
["ca_city = 'Gray'", "ib_lower_bound >= 40001"],
["ca_city = 'McDonald'", "ib_lower_bound >= 10001"],
["ca_city = 'Leesburg'", "ib_lower_bound >= 180001"],
["ca_city = 'Sherwood Forest'", "ib_lower_bound >= 0"],
["ca_city = 'Rankin'", "ib_lower_bound >= 30001"],
["ca_city = 'Cherokee'", "ib_lower_bound >= 70001"],
["ca_city = 'Long Branch'", "ib_lower_bound >= 0"],
["ca_city = 'Elkton'", "ib_lower_bound >= 80001"]
