["(cn.name LIKE '%a%' OR cn.name LIKE '%s%') AND cn.country_code != '[gb]'", "ct.kind = 'production companies'", "k.keyword = 'sarcasm'", "lt.link LIKE '%u%'", "mi.info IN ('English', 'Germany:4 June 2013', 'Â£960,000', '23,157 (France)', 'UK:2 May 1988')", "t.production_year > 1939 AND t.production_year < 2002"],
["(cn.name LIKE '%l%' OR cn.name LIKE '%e%') AND cn.country_code != '[us]'", "ct.kind = 'production companies'", "k.keyword = 'performance'", "lt.link LIKE '%c%'", "mi.info IN ('Taiwan:25 August 2012', 'USA:19 April 1967', 'Egypt:1 June 2009', 'Russia:June 2004', 'MET:1611.78 m')", "t.production_year > 1945 AND t.production_year < 2017"],
["(cn.name LIKE '%i%' OR cn.name LIKE '%T%') AND cn.country_code != '[us]'", "ct.kind = 'production companies'", "k.keyword = 'performance'", "lt.link LIKE '%t%'", "mi.info IN ('Music', 'Denmark:2 July 1954', '30 January 1956 - ?', 'Sweden:1 May 1951', 'Canada:23 May 2013')", "t.production_year > 1995 AND t.production_year < 2012"],
["(cn.name LIKE '%m%' OR cn.name LIKE '%t%') AND cn.country_code != '[jp]'", "ct.kind = 'production companies'", "k.keyword = 'internet'", "lt.link LIKE '%r%'", "mi.info IN ('The opening sequence for .hack//GIFT is similar to that of .hack//SIGN, but with several differences: - Ucchi and Emy, two characters exclusive to //GIFT, appear in the "mouse click" scene. - Many times in the opening, Subaru, Bear, Mimiru, and BT flash between their //SIGN and //GIFT designs. Aura also does this in her floating scene. - During the scene in which Subaru, Bear, Mimiru, and BT wave their respective weapons and split in half, the //SIGN - version characters walk across, are briefly shown in their //GIFT forms as their bodies split, and immediately change back. - The "disintegrating clothes" scenes are replaced by ones of the //GIFT versions of Subaru, Bear, Mimiru, and BT floating against the tunnel of 1s and 0s. - Instead of the //SIGN Tsukasa being wrapped by the Guardian''s tentacles, a //GIFT Tsukasa is shown being Data Drained. - When the dancing girl hits the water, she changes into the topless Helba shown in //GIFT, and the //SIGN Aura is replaced by her //GIFT counterpart.', 'Written in 2003.', 'SEK 9,840 (Sweden)', 'USA:27 July 1978', 'India:10 June 2006')", "t.production_year > 1956 AND t.production_year < 2005"],
["(cn.name LIKE '%o%' OR cn.name LIKE '%o%') AND cn.country_code != '[us]'", "ct.kind = 'production companies'", "k.keyword = 'non-fiction'", "lt.link LIKE '%c%'", "mi.info IN ('USA', 'UK:23 February 1940', 'Denmark:1 June 1996', 'Â© 2004 ZDF', 'USA:3 May 1917')", "t.production_year > 1879 AND t.production_year < 2009"],
["(cn.name LIKE '%B%' OR cn.name LIKE '%o%') AND cn.country_code != '[gb]'", "ct.kind = 'production companies'", "k.keyword = 'royalty'", "lt.link LIKE '%r%'", "mi.info IN ('Australia:PG', 'Japan:9 April 1975', 'Heaven Help Us', 'Hungary:May 2006', 'South Africa:46')", "t.production_year > 1950 AND t.production_year < 2000"],
["(cn.name LIKE '%i%' OR cn.name LIKE '%i%') AND cn.country_code != '[us]'", "ct.kind = 'production companies'", "k.keyword = 'folk-rock'", "lt.link LIKE '%n%'", "mi.info IN ('208', 'New Zealand:72', 'East Germany:103', 'FIM 2,858,917', 'Korea:24')", "t.production_year > 1961 AND t.production_year < 2010"],
["(cn.name LIKE '%e%' OR cn.name LIKE '%d%') AND cn.country_code != '[jp]'", "ct.kind = 'production companies'", "k.keyword = 'internet'", "lt.link LIKE '%i%'", "mi.info IN ('The character of Bear is inspired by Mel Gibson (I)'' ''s character in _Braveheart (1995)_ (qv).', 'USA:4 October 1957', '$2,962,465 (USA)', 'Denmark:6 May 1998', 'Contestant: Pass.')", "t.production_year > 1903 AND t.production_year < 2020"],
["(cn.name LIKE '%o%' OR cn.name LIKE '%s%') AND cn.country_code != '[us]'", "ct.kind = 'distributors'", "k.keyword = 'non-fiction'", "lt.link LIKE '%d%'", "mi.info IN ('English', 'Japan:19 March 1967', 'Mae Sot, Thailand', 'Black stoner comedy', 'Spain:28 May 1979')", "t.production_year > 1956 AND t.production_year < 2010"],
["(cn.name LIKE '%S%' OR cn.name LIKE '%i%') AND cn.country_code != '[us]'", "ct.kind = 'distributors'", "k.keyword = 'based-on-cult-film'", "lt.link LIKE '%l%'", "mi.info IN ('USA', 'UK:3 September 1911', 'Spain:23 June 2007', '368,482 (Sweden)', 'Evil has come home')", "t.production_year > 1941 AND t.production_year < 2011"],
["(cn.name LIKE '%i%' OR cn.name LIKE '%e%') AND cn.country_code != '[us]'", "ct.kind = 'production companies'", "k.keyword = 'music-industry'", "lt.link LIKE '%o%'", "mi.info IN ('FACT: In the Megadeth episode, it is stated that Metaliica''s Black Album and Megadeth''s Countdown To Extinction were released at the same time. Countdown To Extinction wasn''t released until nearly a year after the Black Album.', 'USA:28 October 1930', 'NOK 6,500', 'Japan:6 May 1991', 'The Stellar Cast')", "t.production_year > 1971 AND t.production_year < 2002"],
["(cn.name LIKE '%d%' OR cn.name LIKE '%i%') AND cn.country_code != '[jp]'", "ct.kind = 'production companies'", "k.keyword = 'voice-of-god'", "lt.link LIKE '%e%'", "mi.info IN ('Tsukasa: I''m no longer afraid of you, or my father.', '8,469 (Finland)', 'MET:1362.15 m', 'Portugal:7 May 2006', '$95,011,339 (USA)')", "t.production_year > 1998 AND t.production_year < 2004"],
["(cn.name LIKE '%/%' OR cn.name LIKE '%e%') AND cn.country_code != '[us]'", "ct.kind = 'production companies'", "k.keyword = 'musician'", "lt.link LIKE '%n%'", "mi.info IN ('English', 'USA:1 March 1962', 'Murder Is The Game', 'UK:30 June 1975', 'Show #5169')", "t.production_year > 2002 AND t.production_year < 2012"],
["(cn.name LIKE '%h%' OR cn.name LIKE '%B%') AND cn.country_code != '[gb]'", "ct.kind = 'production companies'", "k.keyword = 'number-in-title'", "lt.link LIKE '%f%'", "mi.info IN ('Australia:PG', 'MET:2104 m', 'Alana: Smog it!', 'UK:22 June 1992', 'UK:April 1940')", "t.production_year > 1970 AND t.production_year < 2000"],
["(cn.name LIKE '%s%' OR cn.name LIKE '%u%') AND cn.country_code != '[gb]'", "ct.kind = 'production companies'", "k.keyword = 'interview'", "lt.link LIKE '%e%'", "mi.info IN ('Poland:30 May 2006', 'Japan:11 March 1987', 'USA:28 January 1985', 'November 1976 -', 'Japan:26 April 1988')", "t.production_year > 2002 AND t.production_year < 2009"],
