["k.keyword LIKE '%d%'", "mi.info IN ('Thriller', 'USA:9 December 2004', 'Brazil:252', '- 7 April 2005', 'USA:28 October 2009')", "t.production_year > 1993"],
["k.keyword LIKE '%d%'", "mi.info IN ('Amazing audio orgasms.', 'Leuven, Belgium', 'USA:13 May 2001', 'Italy:19 March 2010', 'Hungary:11 May 2000')", "t.production_year > 2005"],
["k.keyword LIKE '%u%'", "mi.info IN ('Color', 'USA:January 1994', 'SeinÃ¤joki, Finland', '$120', 'Japan:26 April 2000')", "t.production_year > 2010"],
["k.keyword LIKE '%d%'", "mi.info IN ('USA', 'USA:8 March 2005', 'Perspecta Stereo', '5 August 2009 -', 'Germany:4 May 2000')", "t.production_year > 1994"],
["k.keyword LIKE '%c%'", "mi.info IN ('Thriller', 'Netherlands:18', 'USA:10 January 2012', 'USA:10 July 2007', 'Germany:March 2012')", "t.production_year > 2005"],
["k.keyword LIKE '%p%'", "mi.info IN ('Morrison, Colorado, USA', 'Brazil:March 2009', 'USA:16 March 2009', 'Brazil:90', 'UK:3 May 2012')", "t.production_year > 2007"],
["k.keyword LIKE '%l%'", "mi.info IN ('Adult', 'USA:103', 'USA:20 October 2007', 'USA:15 January 1997', '239')", "t.production_year > 2006"],
["k.keyword LIKE '%o%'", "mi.info IN ('$1,000,000', 'Poland:14 May 2010', 'Spain:19 April 1995', 'Finland:17', 'October 1994 -')", "t.production_year > 2001"],
["k.keyword LIKE '%d%'", "mi.info IN ('USA:21 February 2012', 'USA:29 July 2010', 'UK:12 December 2000', '9 August 2007 -', 'Italy:5 May 2004')", "t.production_year > 2011"],
["k.keyword LIKE '%e%'", "mi.info IN ('97', '$2,800,000', 'Â£7,800', '$49,000', 'Turkey:April 2005')", "t.production_year > 1999"],
["k.keyword LIKE '%l%'", "mi.info IN ('Long Beach, California, USA', 'UK:March 2009', '255', 'Come Inside', 'West Bank, Israel')", "t.production_year > 2008"],
["k.keyword LIKE '%o%'", "mi.info IN ('Piglet: [the buterflies start releasing Piglet] May we be coming down soon?::Winnie the Pooh: I believe so, Piglet.::Piglet: Uh, how soon?::Winnie the Pooh: [as he and Piglet start falling back to the ground] Very.', 'Japan:3 March 2000', 'USA:10 April 2007', '10 June 2007 - ?', 'USA:December 2002')", "t.production_year > 1996"],
