["cct.kind IN ('cast', 'cast', 'cast', 'cast', 'cast')", "cct.kind = 'complete+verified'", "ci.note IN ('(associate producer)', '(voice)', '(archive footage)', '(story editor)', '(supervising producer)')", "it.info = 'countries'", "it.info = 'rating'", "k.keyword IN ('based-on-play', 'based-on-play', 'number-in-title', 'based-on-play', 'number-in-title')", "mi.info IN ('NTSC', 'Dolby Surround', '12', 'USA:R', 'UK')", "n.gender = 'm'", "t.production_year > 1969"],
["cct.kind IN ('cast', 'cast', 'cast', 'cast', 'cast')", "cct.kind = 'complete'", "ci.note IN ('(producer)', '(producer)', '(producer)', '(producer)', '(uncredited)')", "it.info = 'countries'", "it.info = 'votes'", "k.keyword IN ('murder', 'murder', 'murder', 'murder', 'murder')", "mi.info IN ('-', '-', 'English', 'USA', 'English')", "n.gender = 'm'", "t.production_year > 1985"],
["cct.kind IN ('crew', 'crew', 'crew', 'crew', 'crew')", "cct.kind = 'complete+verified'", "ci.note IN ('(written by)', '(written by)', '(creator)', '(written by)', '(written by)')", "it.info = 'genres'", "it.info = 'votes distribution'", "k.keyword IN ('sex', 'sex', 'sex', 'sex', 'sex')", "mi.info IN ('Drama', 'Drama', 'Black and White', 'Drama', 'Drama')", "n.gender = 'm'", "t.production_year > 1984"],
["cct.kind IN ('crew', 'crew', 'crew', 'crew', 'crew')", "cct.kind = 'complete'", "ci.note IN ('(producer)', '(producer)', '(producer)', '(producer)', '(producer)')", "it.info = 'countries'", "it.info = 'votes distribution'", "k.keyword IN ('liquid-oxygen', 'hit-on-the-head-with-a-frying-pan', 'oil-well', 'sex-hospital', 'dead-language')", "mi.info IN ('Mono', 'USA', 'Mono', 'English', 'OFM:35 mm')", "n.gender = 'm'", "t.production_year > 1979"],
["cct.kind IN ('cast', 'cast', 'cast', 'cast', 'cast')", "cct.kind = 'complete'", "ci.note IN ('(voice)', '(executive producer)', '(voice)', '(voice)', '(producer)')", "it.info = 'countries'", "it.info = 'votes distribution'", "k.keyword IN ('murder', 'murder', 'murder', 'murder', 'murder')", "mi.info IN ('USA', 'USA', 'USA', 'USA', 'USA')", "n.gender = 'm'", "t.production_year > 1969"],
["cct.kind IN ('crew', 'crew', 'crew', 'crew', 'crew')", "cct.kind = 'complete+verified'", "ci.note IN ('(producer)', '(producer)', '(producer)', '(producer)', '(producer)')", "it.info = 'genres'", "it.info = 'top 250 rank'", "k.keyword IN ('based-on-novel', 'based-on-novel', 'based-on-novel', 'based-on-novel', 'based-on-novel')", "mi.info IN ('Drama', 'Black and White', 'Black and White', 'Black and White', 'Black and White')", "n.gender = 'm'", "t.production_year > 1979"],
["cct.kind IN ('cast', 'cast', 'cast', 'cast', 'cast')", "cct.kind = 'complete+verified'", "ci.note IN ('(writer)', '(writer)', '(voice)', '(producer)', '(writer)')", "it.info = 'genres'", "it.info = 'rating'", "k.keyword IN ('character-name-in-title', 'independent-film', 'independent-film', 'character-name-in-title', 'independent-film')", "mi.info IN ('Short', 'Documentary', 'Documentary', 'Documentary', 'UK')", "n.gender = 'm'", "t.production_year > 1983"],
["cct.kind IN ('cast', 'cast', 'cast', 'cast', 'cast')", "cct.kind = 'complete'", "ci.note IN ('(production assistant)', '(production assistant)', '(executive producer)', '(executive producer)', '(production assistant)')", "it.info = 'genres'", "it.info = 'rating'", "k.keyword IN ('based-on-novel', 'based-on-novel', 'based-on-novel', 'based-on-novel', 'based-on-novel')", "mi.info IN ('Comedy', 'UK', 'Short', 'Short', 'Short')", "n.gender = 'm'", "t.production_year > 1982"],
["cct.kind IN ('crew', 'crew', 'crew', 'crew', 'crew')", "cct.kind = 'complete'", "ci.note IN ('(associate producer)', '(writer)', '(production assistant)', '(writer)', '(writer)')", "it.info = 'countries'", "it.info = 'rating'", "k.keyword IN ('murder', 'murder', 'murder', 'murder', 'murder')", "mi.info IN ('PFM:35 mm', 'RAT:1.33 : 1', 'USA', 'PFM:35 mm', 'PFM:35 mm')", "n.gender = 'm'", "t.production_year > 1985"],
["cct.kind IN ('cast', 'cast', 'cast', 'cast', 'cast')", "cct.kind = 'complete+verified'", "ci.note IN ('(screenplay)', '(associate producer)', '(archive footage)', '(story)', '(archive footage)')", "it.info = 'countries'", "it.info = 'votes distribution'", "k.keyword IN ('female-nudity', 'female-nudity', 'female-nudity', 'female-nudity', 'female-nudity')", "mi.info IN ('USA', 'Mono', 'Black and White', 'English', 'English')", "n.gender = 'm'", "t.production_year > 1982"],
["cct.kind IN ('crew', 'crew', 'crew', 'crew', 'crew')", "cct.kind = 'complete+verified'", "ci.note IN ('(production assistant) (1980s)', '(screenplay contributor)', '(production assistant) (as Sharre'' Jacoby)', '(co-producer) (version "Apocalypse Now Redux (2001)")', '(executive producer)')", "it.info = 'genres'", "it.info = 'rating'", "k.keyword IN ('sex', 'sex', 'sex', 'sex', 'sex')", "mi.info IN ('Black and White', 'Black and White', 'Drama', 'Black and White', 'Black and White')", "n.gender = 'm'", "t.production_year > 1967"],
