["(mc.note LIKE '%)%' OR mc.note LIKE '%)%')", "(mi.info LIKE '%t%' OR mi.info LIKE '%a%')", "ci.note IN ('(uncredited)', '(segment)', '(as Jesse Hughes)', '(as Klaus RiskÃ¦r)', '(as Maurice Smith)')", "cn.country_code = '[gb]'", "it.info = 'mpaa'", "n.gender = 'm' AND n.name LIKE '%m%'", "rt.role = 'actor'", "t.production_year > 1999 AND t.production_year < 2003"],
["(mc.note LIKE '%e%' OR mc.note LIKE '%(%')", "(mi.info LIKE '%i%' OR mi.info LIKE '%t%')", "ci.note IN ('(uncredited)', '(accountant: MPCA)', '(as Juicy J)', '(as Alexa Siren)', '(BBC)')", "cn.country_code = '[nl]'", "it.info = 'quotes'", "n.gender = 'm' AND n.name LIKE '%o%'", "rt.role = 'actor'", "t.production_year > 2003 AND t.production_year < 2007"],
["(mc.note LIKE '%o%' OR mc.note LIKE '%s%')", "(mi.info LIKE '%d%' OR mi.info LIKE '%a%')", "ci.note IN ('(uncredited)', '(gang consultant)', '(as Patricia Cole)', '(as Robert Moore)', '(as Al Mariotti)')", "cn.country_code = '[nl]'", "it.info = 'certificates'", "n.gender = 'm' AND n.name LIKE '%S%'", "rt.role = 'actor'", "t.production_year > 2001 AND t.production_year < 2007"],
["(mc.note LIKE '%)%' OR mc.note LIKE '%e%')", "(mi.info LIKE '%e%' OR mi.info LIKE '%o%')", "ci.note IN ('(uncredited)', '(as Ifeoma Dieke)', '(as Ladislav J.)', '(as John Nordstrom)', '(as Larsen)')", "cn.country_code = '[ar]'", "it.info = 'trivia'", "n.gender = 'm' AND n.name LIKE '%C%'", "rt.role = 'actor'", "t.production_year > 2001 AND t.production_year < 2006"],
["(mc.note LIKE '%s%' OR mc.note LIKE '%e%')", "(mi.info LIKE '%l%' OR mi.info LIKE '%:%')", "ci.note IN ('(uncredited)', '(as Pascal Hutton)', '(as Hannak)', '(as Eydie Gorme)', '(as Annie Domme)')", "cn.country_code = '[us]'", "it.info = 'certificates'", "n.gender = 'm' AND n.name LIKE '%,%'", "rt.role = 'actor'", "t.production_year > 2004 AND t.production_year < 2007"],
["(mc.note LIKE '%5%' OR mc.note LIKE '%H%')", "(mi.info LIKE '%d%' OR mi.info LIKE '%A%')", "ci.note IN ('(uncredited)', '(producer: Xebec)', '(as O.Chechenev)', '(as Peter Howarth)', '(as Kevin Lamont)')", "cn.country_code = '[ar]'", "it.info = 'tech info'", "n.gender = 'm' AND n.name LIKE '%t%'", "rt.role = 'actor'", "t.production_year > 2000 AND t.production_year < 2007"],
["(mc.note LIKE '%S%' OR mc.note LIKE '%n%')", "(mi.info LIKE '%h%' OR mi.info LIKE '%e%')", "ci.note IN ('(uncredited)', '(as Todd Russell)', '(as Katie Dove)', '(episodes 4-6)', '(as Yaman Tuzcet)')", "cn.country_code = '[ar]'", "it.info = 'goofs'", "n.gender = 'm' AND n.name LIKE '%e%'", "rt.role = 'actor'", "t.production_year > 2002 AND t.production_year < 2007"],
["(mc.note LIKE '%2%' OR mc.note LIKE '%r%')", "(mi.info LIKE '%f%' OR mi.info LIKE '%a%')", "ci.note IN ('(uncredited)', '(as W.V. Fares)', '(as Stephanie Chad)', '(as Haley Hunter)', '(as Peter Hunt)')", "cn.country_code = '[ar]'", "it.info = 'trivia'", "n.gender = 'm' AND n.name LIKE '%o%'", "rt.role = 'actor'", "t.production_year > 2000 AND t.production_year < 2006"],
["(mc.note LIKE '%w%' OR mc.note LIKE '%)%')", "(mi.info LIKE '%s%' OR mi.info LIKE '%n%')", "ci.note IN ('(uncredited)', '(as Sharon Lewis)', '(as Onico Edain)', '(as Soulsisters)', '(as Ahsan Khan)')", "cn.country_code = '[de]'", "it.info = 'trivia'", "n.gender = 'm' AND n.name LIKE '%h%'", "rt.role = 'actor'", "t.production_year > 1998 AND t.production_year < 2007"],
["(mc.note LIKE '%r%' OR mc.note LIKE '%H%')", "(mi.info LIKE '%l%' OR mi.info LIKE '%o%')", "ci.note IN ('(uncredited)', '(vt script editor)', '(as Tom Wilkins)', '(as Tomi Putaansuu)', '(as Mandi Wolf)')", "cn.country_code = '[nl]'", "it.info = 'color info'", "n.gender = 'm' AND n.name LIKE '%e%'", "rt.role = 'actor'", "t.production_year > 2002 AND t.production_year < 2006"],
["(mc.note LIKE '%e%' OR mc.note LIKE '%s%')", "(mi.info LIKE '%:%' OR mi.info LIKE '%U%')", "ci.note IN ('(uncredited)', '(as Ralph Drishell)', '(as Doug Vaters)', '(fly on the wall)', '(as Robert Purdey)')", "cn.country_code = '[us]'", "it.info = 'certificates'", "n.gender = 'm' AND n.name LIKE '%t%'", "rt.role = 'actor'", "t.production_year > 2001 AND t.production_year < 2007"],
["(mc.note LIKE '%V%' OR mc.note LIKE '%l%')", "(mi.info LIKE '%T%' OR mi.info LIKE '%T%')", "ci.note IN ('(uncredited)', '(as Erik Nakamura)', '(as Rachael Luv)', '(as Emily McGuirk)', '(as Judith)')", "cn.country_code = '[nl]'", "it.info = 'sound mix'", "n.gender = 'm' AND n.name LIKE '%J%'", "rt.role = 'actor'", "t.production_year > 1999 AND t.production_year < 2006"],
