Table,Condition,Frequency
cn,(cn.name LIKE '%Sony%' OR cn.name LIKE '%Broadcasting%') AND cn.country_code != '[nl]',1
cn,(cn.name LIKE '%Yleisradio%' OR cn.name LIKE '%Company%') AND cn.country_code != '[us]',1
cn,(cn.name LIKE '%Company%' OR cn.name LIKE '%Company%') AND cn.country_code != '[fr]',1
cn,(cn.name LIKE '%Company%' OR cn.name LIKE '%Broadcasting%') AND cn.country_code != '[am]',1
cn,(cn.name LIKE '%Broadcasting%' OR cn.name LIKE '%Film%') AND cn.country_code != '[us]',1
cn,(cn.name LIKE '%British%' OR cn.name LIKE '%Company%') AND cn.country_code != '[us]',1
cn,(cn.name LIKE '%ABC%' OR cn.name LIKE '%Broadcasting%') AND cn.country_code != '[de]',1
cn,(cn.name LIKE '%Corporation%' OR cn.name LIKE '%Company%') AND cn.country_code != '[fr]',1
cn,(cn.name LIKE '%I%' OR cn.name LIKE '%CBS%') AND cn.country_code != '[us]',1
cn,(cn.name LIKE '%Company%' OR cn.name LIKE '%Company%') AND cn.country_code != '[mc]',1
cn,(cn.name LIKE '%NBC%' OR cn.name LIKE '%Film%') AND cn.country_code != '[yucs]',1
cn,(cn.name LIKE '%Company%' OR cn.name LIKE '%FrÃ¨res%') AND cn.country_code != '[gb]',1
cn,(cn.name LIKE '%Corporation%' OR cn.name LIKE '%American%') AND cn.country_code != '[us]',1
cn,(cn.name LIKE '%American%' OR cn.name LIKE '%FrÃ¨res%') AND cn.country_code != '[gb]',1
cn,(cn.name LIKE '%Broadcasting%' OR cn.name LIKE '%System%') AND cn.country_code != '[de]',1
cn,(cn.name LIKE '%National%' OR cn.name LIKE '%American%') AND cn.country_code != '[jo]',1
cn,(cn.name LIKE '%Broadcasting%' OR cn.name LIKE '%British%') AND cn.country_code != '[us]',1
cn,(cn.name LIKE '%CBS%' OR cn.name LIKE '%BBC%') AND cn.country_code != '[de]',1
cn,(cn.name LIKE '%EspectÃ¡culos%' OR cn.name LIKE '%Columbia%') AND cn.country_code != '[us]',1
cn,(cn.name LIKE '%Columbia%' OR cn.name LIKE '%Blue%') AND cn.country_code != '[de]',1
cn,(cn.name LIKE '%Broadcasting%' OR cn.name LIKE '%Broadcasting%') AND cn.country_code != '[je]',1
cn,(cn.name LIKE '%National%' OR cn.name LIKE '%Warner%') AND cn.country_code != '[us]',1
cn,(cn.name LIKE '%Broadcasting%' OR cn.name LIKE '%System%') AND cn.country_code != '[fr]',1
cn,(cn.name LIKE '%General%' OR cn.name LIKE '%Film%') AND cn.country_code != '[gb]',1
cn,(cn.name LIKE '%Broadcasting%' OR cn.name LIKE '%Broadcasting%') AND cn.country_code != '[mv]',1
cn,(cn.name LIKE '%Pictures%' OR cn.name LIKE '%CBS%') AND cn.country_code != '[fr]',1
cn,(cn.name LIKE '%CBS%' OR cn.name LIKE '%Broadcasting%') AND cn.country_code != '[ps]',1
cn,(cn.name LIKE '%TV%' OR cn.name LIKE '%Broadcasting%') AND cn.country_code != '[ge]',1
cn,(cn.name LIKE '%American%' OR cn.name LIKE '%Corporation%') AND cn.country_code != '[fr]',1
cn,(cn.name LIKE '%Warner%' OR cn.name LIKE '%Entertainment%') AND cn.country_code != '[gb]',1
cn,(cn.name LIKE '%FrÃ¨res%' OR cn.name LIKE '%System%') AND cn.country_code != '[fr]',1
cn,(cn.name LIKE '%Columbia%' OR cn.name LIKE '%American%') AND cn.country_code != '[gr]',1
cn,(cn.name LIKE '%ABC%' OR cn.name LIKE '%Columbia%') AND cn.country_code != '[us]',1
cn,(cn.name LIKE '%Broadcasting%' OR cn.name LIKE '%Zeppers%') AND cn.country_code != '[us]',1
cn,(cn.name LIKE '%Giroscopio%' OR cn.name LIKE '%Sony%') AND cn.country_code != '[ph]',1
cn,(cn.name LIKE '%General%' OR cn.name LIKE '%NBC%') AND cn.country_code != '[pl]',1
cn,(cn.name LIKE '%Broadcasting%' OR cn.name LIKE '%Film%') AND cn.country_code != '[tm]',1
cn,(cn.name LIKE '%Company%' OR cn.name LIKE '%Broadcasting%') AND cn.country_code != '[mu]',1
cn,(cn.name LIKE '%Broadcasting%' OR cn.name LIKE '%Broadcasting%') AND cn.country_code != '[us]',1
cn,(cn.name LIKE '%American%' OR cn.name LIKE '%Corporation%') AND cn.country_code != '[us]',1
cn,(cn.name LIKE '%National%' OR cn.name LIKE '%Goldwyn%') AND cn.country_code != '[fr]',1
cn,(cn.name LIKE '%Columbia%' OR cn.name LIKE '%Cinema%') AND cn.country_code != '[dk]',1
cn,(cn.name LIKE '%Broadcasting%' OR cn.name LIKE '%Warner%') AND cn.country_code != '[us]',1
cn,(cn.name LIKE '%BBC%' OR cn.name LIKE '%Home%') AND cn.country_code != '[us]',1
cn,(cn.name LIKE '%General%' OR cn.name LIKE '%Pictures%') AND cn.country_code != '[td]',1
cn,(cn.name LIKE '%CBS%' OR cn.name LIKE '%Corporation%') AND cn.country_code != '[cl]',1
cn,(cn.name LIKE '%National%' OR cn.name LIKE '%National%') AND cn.country_code != '[us]',1
cn,(cn.name LIKE '%System%' OR cn.name LIKE '%NBC%') AND cn.country_code != '[gb]',1
