Table,Condition,Frequency
cn,cn.country_code = '[us]',29
cn,cn.country_code = '[de]',8
cn,cn.country_code = '[fr]',6
cn,cn.country_code = '[gb]',7
k,k.keyword = 'character-name-in-title',12
k,k.keyword = 'sex',15
k,k.keyword = 'based-on-novel',8
k,k.keyword = 'independent-film',1
k,k.keyword = 'surrealism',2
k,k.keyword = 'female-nudity',1
k,k.keyword = 'non-fiction',1
k,k.keyword = 'death',1
k,k.keyword = 'red-cross',1
k,k.keyword = 'murder',3
k,k.keyword = 'criminal-justice',1
k,k.keyword = 'love',1
k,k.keyword = 'father-daughter-relationship',1
k,k.keyword = 'father-son-relationship',1
k,k.keyword = 'anal-sex',1
t,t.episode_nr >= 4 AND t.episode_nr < 28,1
t,t.episode_nr >= 5 AND t.episode_nr < 21,1
t,t.episode_nr >= 18 AND t.episode_nr < 136,1
t,t.episode_nr >= 10 AND t.episode_nr < 3556,1
t,t.episode_nr >= 19 AND t.episode_nr < 31,1
t,t.episode_nr >= 4 AND t.episode_nr < 7,1
t,t.episode_nr >= 2 AND t.episode_nr < 26,1
t,t.episode_nr >= 6 AND t.episode_nr < 21,1
t,t.episode_nr >= 3 AND t.episode_nr < 105,1
t,t.episode_nr >= 2 AND t.episode_nr < 50,1
t,t.episode_nr >= 12 AND t.episode_nr < 15,1
t,t.episode_nr >= 1 AND t.episode_nr < 10143,1
t,t.episode_nr >= 13 AND t.episode_nr < 29,1
t,t.episode_nr >= 3 AND t.episode_nr < 3860,1
t,t.episode_nr >= 9 AND t.episode_nr < 10,1
t,t.episode_nr >= 6 AND t.episode_nr < 9,1
t,t.episode_nr >= 15 AND t.episode_nr < 4489,1
t,t.episode_nr >= 3 AND t.episode_nr < 5,1
t,t.episode_nr >= 4 AND t.episode_nr < 12,1
t,t.episode_nr >= 11 AND t.episode_nr < 5404,1
t,t.episode_nr >= 13 AND t.episode_nr < 44,1
t,t.episode_nr >= 3 AND t.episode_nr < 4,1
t,t.episode_nr >= 9 AND t.episode_nr < 553,1
t,t.episode_nr >= 2 AND t.episode_nr < 82,1
t,t.episode_nr >= 4 AND t.episode_nr < 3861,1
t,t.episode_nr >= 11 AND t.episode_nr < 58,1
t,t.episode_nr >= 13 AND t.episode_nr < 10941,1
t,t.episode_nr >= 1 AND t.episode_nr < 20,1
t,t.episode_nr >= 31 AND t.episode_nr < 12126,1
t,t.episode_nr >= 8 AND t.episode_nr < 5099,1
t,t.episode_nr >= 6 AND t.episode_nr < 10,1
t,t.episode_nr >= 7 AND t.episode_nr < 105,1
t,t.episode_nr >= 7 AND t.episode_nr < 14,1
t,t.episode_nr >= 19 AND t.episode_nr < 135,1
t,t.episode_nr >= 5 AND t.episode_nr < 84,1
t,t.episode_nr >= 4 AND t.episode_nr < 8,1
t,t.episode_nr >= 4 AND t.episode_nr < 21,1
t,t.episode_nr >= 8 AND t.episode_nr < 137,1
t,t.episode_nr >= 2 AND t.episode_nr < 20,1
t,t.episode_nr >= 2 AND t.episode_nr < 8,1
t,t.episode_nr >= 10 AND t.episode_nr < 16,1
t,t.episode_nr >= 1 AND t.episode_nr < 12270,1
t,t.episode_nr >= 23 AND t.episode_nr < 4229,1
t,t.episode_nr >= 7 AND t.episode_nr < 13,1
t,t.episode_nr >= 21 AND t.episode_nr < 3854,1
t,t.episode_nr >= 4 AND t.episode_nr < 3205,1
t,t.episode_nr >= 7 AND t.episode_nr < 8,1
t,t.episode_nr >= 3 AND t.episode_nr < 41,1
t,t.episode_nr >= 5 AND t.episode_nr < 34,1
t,t.episode_nr >= 4 AND t.episode_nr < 3154,1
