Table,Condition,Frequency
mc,(mc.note LIKE '%(%' OR mc.note LIKE '%8%'),1
mc,(mc.note LIKE '%)%' OR mc.note LIKE '%A%'),1
mc,(mc.note LIKE '%l%' OR mc.note LIKE '%A%'),1
mc,(mc.note LIKE '%s%' OR mc.note LIKE '%)%'),1
mc,(mc.note LIKE '%(%' OR mc.note LIKE '%B%'),1
mc,(mc.note LIKE '%)%' OR mc.note LIKE '%V%'),1
mc,(mc.note LIKE '%s%' OR mc.note LIKE '%c%'),1
mc,(mc.note LIKE '%S%' OR mc.note LIKE '%S%'),1
mc,(mc.note LIKE '%A%' OR mc.note LIKE '%)%'),1
mc,(mc.note LIKE '%V%' OR mc.note LIKE '%(%'),1
mc,(mc.note LIKE '%)%' OR mc.note LIKE '%)%'),3
mc,(mc.note LIKE '%S%' OR mc.note LIKE '%A%'),1
mc,(mc.note LIKE '%r%' OR mc.note LIKE '%(%'),2
mc,(mc.note LIKE '%(%' OR mc.note LIKE '%V%'),1
mc,(mc.note LIKE '%l%' OR mc.note LIKE '%U%'),1
mc,(mc.note LIKE '%(%' OR mc.note LIKE '%t%'),1
mc,(mc.note LIKE '%8%' OR mc.note LIKE '%-%'),1
mc,(mc.note LIKE '%D%' OR mc.note LIKE '%2%'),1
mc,(mc.note LIKE '%(%' OR mc.note LIKE '%U%'),1
mc,(mc.note LIKE '%a%' OR mc.note LIKE '%V%'),1
mc,(mc.note LIKE '%S%' OR mc.note LIKE '%D%'),1
mc,(mc.note LIKE '%i%' OR mc.note LIKE '%8%'),1
mc,(mc.note LIKE '%d%' OR mc.note LIKE '%(%'),1
mc,(mc.note LIKE '%D%' OR mc.note LIKE '%a%'),1
mc,(mc.note LIKE '%s%' OR mc.note LIKE '%l%'),1
mc,(mc.note LIKE '%)%' OR mc.note LIKE '%d%'),1
mc,(mc.note LIKE '%)%' OR mc.note LIKE '%D%'),3
mc,(mc.note LIKE '%9%' OR mc.note LIKE '%9%'),1
mc,(mc.note LIKE '%t%' OR mc.note LIKE '%n%'),1
mc,(mc.note LIKE '%-%' OR mc.note LIKE '%D%'),1
mc,(mc.note LIKE '%)%' OR mc.note LIKE '%U%'),2
mc,(mc.note LIKE '%)%' OR mc.note LIKE '%a%'),1
mc,(mc.note LIKE '%U%' OR mc.note LIKE '%r%'),1
mc,(mc.note LIKE '%8%' OR mc.note LIKE '%(%'),1
mc,(mc.note LIKE '%d%' OR mc.note LIKE '%r%'),1
mc,(mc.note LIKE '%a%' OR mc.note LIKE '%0%'),1
mc,(mc.note LIKE '%(%' OR mc.note LIKE '%)%'),1
mc,(mc.note LIKE '%V%' OR mc.note LIKE '%S%'),2
mc,(mc.note LIKE '%A%' OR mc.note LIKE '%D%'),1
mc,(mc.note LIKE '%U%' OR mc.note LIKE '%U%'),1
mc,(mc.note LIKE '%s%' OR mc.note LIKE '%s%'),1
mc,(mc.note LIKE '%e%' OR mc.note LIKE '%c%'),1
mc,(mc.note LIKE '%U%' OR mc.note LIKE '%(%'),1
mi,(mi.info LIKE '%g%' OR mi.info LIKE '%r%'),1
mi,(mi.info LIKE '%p%' OR mi.info LIKE '%o%'),1
mi,(mi.info LIKE '%o%' OR mi.info LIKE '%r%'),1
mi,(mi.info LIKE '%e%' OR mi.info LIKE '%h%'),1
mi,(mi.info LIKE '%s%' OR mi.info LIKE '%e%'),1
mi,(mi.info LIKE '%f%' OR mi.info LIKE '%o%'),1
mi,(mi.info LIKE '%d%' OR mi.info LIKE '%d%'),1
mi,(mi.info LIKE '%u%' OR mi.info LIKE '%y%'),1
mi,(mi.info LIKE '%d%' OR mi.info LIKE '%L%'),1
mi,(mi.info LIKE '%y%' OR mi.info LIKE '%o%'),1
mi,(mi.info LIKE '%u%' OR mi.info LIKE '%a%'),1
mi,(mi.info LIKE '%s%' OR mi.info LIKE '%h%'),1
