Table,Condition,Frequency
it_mi,it.info = 'tech info',16
it_mi,it.info = 'languages',10
it_mi,it.info = 'genres',7
it_mi,it.info = 'countries',7
it_mi,it.info = 'certificates',2
it_mi,it.info = 'runtimes',2
it_mi,it.info = 'color info',4
it_mi,it.info = 'sound mix',2
it_miidx,it.info = 'votes distribution',25
it_miidx,it.info = 'rating',15
it_miidx,it.info = 'votes',10
k,"k.keyword IN ('ambition', 'wife-meets-mistress', 'thames-river', 'visiting-a-grave', 'chopping-off-dick')",1
k,"k.keyword IN ('interrupted-hanging', 'nicotine', 'mixed-identity', 'lederman', 'bed-of-flowers')",1
k,"k.keyword IN ('toilet', 'election-campaign', 'hand-burn', 'africa-ceremony', 'viral')",1
k,"k.keyword IN ('gang-member', 'exploding-tank', 'incest', 'pakistani-immigrant', 'demerol')",1
k,"k.keyword IN ('dancer', 'under-a-spell', 'strato-volcano', 'bandolero', 'stephen-glass')",1
k,"k.keyword IN ('film-producer', 'selby', 'hubcap', 'audio-tape-playback', 'cream-of-wheat')",1
k,"k.keyword IN ('campaign', 'ghallywood', 'doco', 'townes-van-zandt', 'sex-with-object')",1
k,"k.keyword IN ('honor', 'stencil', 'dead-fly', 'musclemen', 'blues-music')",1
k,"k.keyword IN ('train', 'female-crying', 'gum-machine', 'fireplace-shovel', 'quasimoto')",1
k,"k.keyword IN ('homelessness', 'circus-fire', 'christian-history', 'pie', 'chartres-france')",1
k,"k.keyword IN ('drug-use', 'lighting-equipment', 'police-show-parody', 'hyper-focus', 'homemade-drugs')",1
k,"k.keyword IN ('expectation', 'dutch-parliament', 'bet-hatikva-israel', 'milking-a-snail', 'anarchism')",1
k,"k.keyword IN ('military', 'commercial-plane', 'teen-rebel', 'brinksmanship', 'tatra-mountains')",1
k,"k.keyword IN ('two-parts', 'washer-woman', 'broken-refrigerator', 'commando', 'pontiac-the-car')",1
k,"k.keyword IN ('female-vampire', 'jefferson-davis', 'genetics-experiment', 'punch-the-drink', 'german-hip-hop')",1
k,"k.keyword IN ('happiness', 'rope-broke', 'ming-dynasty', 'grove-of-venus', 'monumentalism')",1
k,"k.keyword IN ('incense', 'waste', 'hydrogen-crystal', 'banana-cue', 'theatre-life')",1
k,"k.keyword IN ('bat', 'goat-show', 'veterans-memorial', 'movement-therapy', 'graduation-night')",1
k,"k.keyword IN ('campaign', 'staring-at-breast', 'artichoke', 'digital-recorder', 'eating-nails')",1
k,"k.keyword IN ('campaign', 'lisbon-university', 'beagle-dog', 'windmill', 'evil-monster')",1
k,"k.keyword IN ('performer-name-in-title', 'sin-of-intent', 'black-pepper', 'woman''s-hat', 'space-colony')",1
k,"k.keyword IN ('bus-station', 'taciturnity', 'rare-animal', 'slap-on-the-back', 'body-in-pool')",1
k,"k.keyword IN ('song', 'pakistani-immigrant', 'medicine', 'papokot', 'death-bed-vigil')",1
k,"k.keyword IN ('champion', 'date-auction', 'jungle-war', 'overweight-slur', 'deadly-force')",1
k,"k.keyword IN ('student', 'fat-tuesday', 'dog-hater', 'hosiery', 'sirhan')",1
k,"k.keyword IN ('1890s', 'kiddie-pool', 'sword-fight', 'rover', 'minister-to-france')",1
k,"k.keyword IN ('sashimi', 'fried-egg-jellyfish', 'spanish-australian', 'asphalt', 'bail-bond')",1
k,"k.keyword IN ('abandoned-by-husband', 'supply', 'robbie-robertson', 'going-native', 'winning-ticket')",1
k,"k.keyword IN ('defecation', 'terrorist', 'caregiver', 'hard-rock', 'id-bracelet')",1
k,"k.keyword IN ('vanity', 'reading-lamp', 'angelino', 'sex-scandal', 'huffing')",1
k,"k.keyword IN ('1890s', 'lasso-of-truth', 'marquis-cut-diamond', 'evil-fairy', 'mirror-lined-box')",1
k,"k.keyword IN ('gun', 'pizza-delivery', 'scourge', 'editor-in-chief', 'm-45-quadmount')",1
k,"k.keyword IN ('death-of-mother', 'quilting', 'liver-disease', 'encopa', 'tanker')",1
k,"k.keyword IN ('silent-movie-sequence', 'fight-in-restaurant', 'navajo', 'scribbage', 'dented-fender')",1
k,"k.keyword IN ('shotgun', 'circus-school', 'sliding-door', 'exhumed-body', 'crap-game')",1
k,"k.keyword IN ('dancer', 'french-colonial', 'body-cast', 'old-herder', 'wall-clock')",1
k,"k.keyword IN ('based-on-novel', 'renoir-painting', 'electric-railway', 'murder-on-ship', 'wetting-one''s-self')",1
k,"k.keyword IN ('film-director', 'greek-folk-dance', 'fickle-woman', 'bushwhacked', 'california-governor')",1
k,"k.keyword IN ('incense', 'schnitzler-play', 'class-distinction', 'parvenu', 'mistaken')",1
k,"k.keyword IN ('happiness', 'cave-crash', 'spokane-washington', 'last-reunion', 'clogged-toilet')",1
k,"k.keyword IN ('british-military', 'stage-door', '12-chapters', 'tithe', 'piss-sheet')",1
k,"k.keyword IN ('stagecoach', 'floating-toy', 'bathroom-graffiti', 'hidden-truth', 'egg-beating')",1
k,"k.keyword IN ('train', 'junk-collector', 'cut-to-pieces', 'inner-voice', 'choke-hold')",1
k,"k.keyword IN ('title-spoken-by-character', 'pain-spray', 'electrocardiogram', 'teleporter', 'exploring-a-house')",1
k,"k.keyword IN ('train', 'cribbage', 'technocracy', 'imitating-a-gorilla', 'scopolamine')",1
k,"k.keyword IN ('nature', 'lights-shut-off', 'third-world', '16mm-film', 'mother-nature')",1
k,"k.keyword IN ('robbery', 'soccer-field', 'whinny', 'butchering-a-human', 'essay-writer')",1
k,"k.keyword IN ('monster-abducts-woman', 'suburbian-life', 'fitness-training', 'car-driving', 'euro-animation')",1
k,"k.keyword IN ('redhead', 'medical-assistance', 'animal-psychic', 'kept-man', 'bridge-demolition')",1
k,"k.keyword IN ('gun', 'southeast-asia', 'garden-rake', 'figure-drawing', 'word-of-honor')",1
kt,kt.kind = 'movie',46
kt,kt.kind = 'tv movie',1
kt,kt.kind = 'video movie',1
kt,kt.kind = 'episode',1
kt,kt.kind = 'tv series',1
mi,"mi.info IN ('PCS:Spherical', 'Â£10,456', '? - 23 March 2008', 'UK:29 December 1992', 'Love is courage.')",1
mi,"mi.info IN ('OFM:35 mm', 'Denmark:19 May 1947', 'Thailand:178', 'LolaBek', 'Hungary:3 May 2004')",1
mi,"mi.info IN ('English', '2599', 'Japan:August 1973', '3058', 'Spain:November 1911')",1
mi,"mi.info IN ('PCS:Spherical', 'Spain:1 July 1970', 'USA:24 June 1909', 'France:4 June 1920', 'India:3 July 2002')",1
mi,"mi.info IN ('Drama', 'Spain:14 March 2003', 'Czechoslovakia:223', 'Denmark:31 May 1995', 'Germany:8 June 2004')",1
mi,"mi.info IN ('LAB:Consolidated Film Industries (CFI), Hollywood (CA), USA', 'CAM:Sony a99', 'MET:2823 m', 'Ilya Batuev', 'UK:7 November 1990')",1
mi,"mi.info IN ('Romance', 'UK:8 April 2013', '4585', 'USA:31 October 1980', 'Germany:25 May 1994')",1
mi,"mi.info IN ('PCS:Spherical', 'France:January 1915', '$49,851,591 (USA)', '$17,020 (Bulgaria)', 'India:3 July 2003')",1
mi,"mi.info IN ('Italian', 'Croatia:3 May 2009', 'YUM 150', 'UK:1972', 'UK:16 October 1975')",1
mi,"mi.info IN ('English', '5853', 'MET:2000 m', 'UK:28 December 2004', 'Poland:7 July 2012')",1
mi,"mi.info IN ('RAT:1.37 : 1', 'France:289', 'ALL 1,000,000', 'MET:800 m', 'â¬ 272,000')",1
mi,"mi.info IN ('OFM:35 mm', 'UK:23 January 1987', 'Michael Wiese', 'Croatia:57', 'Japan:28 April 1938')",1
mi,"mi.info IN ('Biography', 'MET:307.8 m', 'Croatia:25 May 2007', 'CAM:Arriflex SR I', 'Finland:19 May 2004')",1
mi,"mi.info IN ('Japan', 'USA:October 2008', 'France:October 1966', 'Mexico:1946', 'UK:19 July 1981')",1
mi,"mi.info IN ('UK:18', '5734', 'Ireland:June 2010', 'Netherlands:1921', 'France:19 May 2015')",1
mi,"mi.info IN ('RAT:1.37 : 1', 'USA:22 April 1930', 'He learned to read.', 'Germany:6 May 2002', 'USA:7 March 1962')",1
mi,"mi.info IN ('Japan', 'USA:13 June 1936', 'Hong Kong:9', '10495 AS', 'MET:1623 m')",1
mi,"mi.info IN ('RAT:1.85 : 1', 'UK:October 1984', 'MET:2736 m', 'UK:14 February 1992', 'Mexico:18 July 2011')",1
mi,"mi.info IN ('87', 'MET:115.8 m', 'Debrecen, Hungary', 'UK:27 October 1982', 'Brazil:8 July 2005')",1
mi,"mi.info IN ('Comedy', 'Germany:5 May 2011', 'UK:10 March 1975', 'Robin: Holy bikini!', 'Singapore:45')",1
mi,"mi.info IN ('English', 'Spain:30 April 1930', 'God, Give Me a Sign', 'USA:7 November 1933', 'UK:15 October 1951')",1
mi,"mi.info IN ('PFM:35 mm', 'UK:26 December 2009', 'UK:9 August 1995', 'Delancy Press Ltd', 'Mexico:7 July 1960')",1
mi,"mi.info IN ('USA:20', 'Japan:9 April 1984', '19 October 1899 -', '2242', 'Canada:259')",1
mi,"mi.info IN ('English', '244,030 (Sweden)', '- 15 August 2001', 'Japan:12 March 1966', 'UK:21 October 1961')",1
mi,"mi.info IN ('Japan', 'UK:16 December 2010', 'Estonia:18 May 2011', 'Nothing Dies', 'Thailand:107')",1
mi,"mi.info IN ('Black and White', 'UK:24 December 1954', 'USA:3 July 1986', 'Japan:1906', '15625')",1
mi,"mi.info IN ('Japan', 'Mexico:9 July 1993', 'Spain:16 April 1992', 'UK:17 March 1986', 'USA:7 July 1981')",1
mi,"mi.info IN ('PFM:35 mm', 'UK:19 June 1951', 'Kuwait:104', '17 October 1951 -', 'La Mancha Media')",1
mi,"mi.info IN ('Singapore:R21', 'Spain:6 June 2008', 'LV 12653', '$1,945,552 (USA)', 'Sweden:13 June 2008')",1
mi,"mi.info IN ('Color', 'UK:30 March 2000', 'USA:26 June 2003', 'France:2 March 1981', 'India:19 April 1962')",1
