Table,Condition,Frequency
cct1,"cct.kind IN ('cast', 'crew')",50
cct2,cct.kind = 'complete+verified',35
cct2,cct.kind = 'complete',15
ci,"ci.note IN ('(voice)', '(voice: Japanese version)', '(voice) (uncredited)', '(voice: English version)')",30
ci,"ci.note IN ('(writer)', '(head writer)', '(written by)', '(story)', '(story editor)')",16
ci,"ci.note IN ('(producer)', '(executive producer)')",3
ci,"ci.note IN ('(voice)', '(voice) (uncredited)', '(voice: English version)')",1
it_mi,it.info = 'countries',34
it_mi,it.info = 'genres',16
it_miidx,it.info = 'rating',33
it_miidx,it.info = 'votes',16
it_miidx,it.info = 'bottom 10 rank',1
k,"k.keyword IN ('superhero', 'sequel', 'second-part', 'marvel-comics', 'based-on-comic', 'tv-special', 'fight', 'violence')",6
k,"k.keyword IN ('murder', 'murder-in-title', 'blood', 'violence')",18
k,"k.keyword IN ('sequel', 'revenge', 'based-on-novel')",3
k,"k.keyword IN ('nerd', 'loner', 'alienation', 'dignity')",2
k,"k.keyword IN ('superhero', 'marvel-comics', 'based-on-comic', 'fight')",1
k,"k.keyword IN ('superhero', 'marvel-comics', 'based-on-comic', 'tv-special', 'fight', 'violence', 'magnet', 'web', 'claw', 'laser')",6
k,"k.keyword IN ('murder', 'violence', 'blood', 'gore', 'death', 'female-nudity', 'hospital')",8
k,"k.keyword IN ('murder', 'murder-in-title')",2
k,"k.keyword IN ('hero', 'martial-arts', 'hand-to-hand-combat')",1
k,"k.keyword IN ('murder', 'blood', 'gore', 'death', 'female-nudity')",2
k,"k.keyword IN ('hero', 'martial-arts', 'hand-to-hand-combat', 'computer-animated-movie')",1
mi,"mi.info IN ('Sweden', 'Norway', 'Germany', 'Denmark', 'Swedish', 'Denish', 'Norwegian', 'German', 'USA', 'American')",19
mi,"mi.info IN ('Horror', 'Action', 'Sci-Fi', 'Thriller', 'Crime', 'War')",10
mi,"mi.info IN ('Sweden', 'Norway', 'Germany', 'Denmark', 'Swedish', 'Denish', 'Norwegian', 'German')",6
mi,"mi.info IN ('Drama', 'Horror', 'Western', 'Family')",2
mi,"mi.info IN ('USA', 'America')",3
mi,"mi.info IN ('Germany', 'German', 'USA', 'American')",3
mi,"mi.info IN ('Horror', 'Thriller')",3
mi,"mi.info IN ('Drama', 'Horror')",1
mi,"mi.info IN ('Sweden', 'Germany', 'Swedish', 'German')",2
mi,"mi.info IN ('Sweden', 'Norway', 'Germany', 'Denmark', 'Swedish', 'Denish', 'Norwegian', 'German', 'English')",1
n,n.gender = 'm',50
t,t.production_year > 1950,7
t,t.production_year > 1990,7
t,t.production_year > 2000,24
t,t.production_year > 2005,12
