Table,Condition,Frequency
chn,(chn.name LIKE '%man%' OR chn.name LIKE '%Iron%Man%'),10
chn,(chn.name LIKE '%Man%' OR chn.name LIKE '%man%'),4
chn,(chn.name LIKE '%Iron%Man%' OR chn.name LIKE '%Man%'),5
chn,(chn.name LIKE '%Iron%Man%' OR chn.name LIKE '%man%'),7
chn,(chn.name LIKE '%man%' OR chn.name LIKE '%Man%'),4
chn,(chn.name LIKE '%Man%' OR chn.name LIKE '%Iron%Man%'),5
chn,(chn.name LIKE '%Tony%Stark%' OR chn.name LIKE '%man%'),4
chn,(chn.name LIKE '%Tony%Stark%' OR chn.name LIKE '%Man%'),4
chn,(chn.name LIKE '%Man%' OR chn.name LIKE '%Tony%Stark%'),2
chn,(chn.name LIKE '%man%' OR chn.name LIKE '%Tony%Stark%'),2
chn,(chn.name LIKE '%Tony%Stark%' OR chn.name LIKE '%Iron%Man%'),3
cct1,cct1.kind = 'cast',43
cct1,cct1.kind = 'crew',7
cct2,cct2.kind = 'complete+verified',32
cct2,cct2.kind = 'complete',18
it_miidx,it.info = 'votes',11
it_miidx,it.info = 'rating',38
it_miidx,it.info = 'top 250 rank',1
k,"k.keyword IN ('superhero', 'sequel', 'second-part', 'marvel-comics', 'based-on-comic', 'tv-special', 'fight', 'violence')",8
k,"k.keyword IN ('murder', 'murder-in-title', 'blood', 'violence')",16
k,"k.keyword IN ('nerd', 'loner', 'alienation', 'dignity')",2
k,"k.keyword IN ('hero', 'martial-arts', 'hand-to-hand-combat', 'computer-animated-movie')",2
k,"k.keyword IN ('murder', 'violence', 'blood', 'gore', 'death', 'female-nudity', 'hospital')",7
k,"k.keyword IN ('murder', 'blood', 'gore', 'death', 'female-nudity')",2
k,"k.keyword IN ('hero', 'martial-arts', 'hand-to-hand-combat')",1
k,"k.keyword IN ('murder', 'murder-in-title')",4
k,"k.keyword IN ('sequel', 'revenge', 'based-on-novel')",3
k,"k.keyword IN ('superhero', 'marvel-comics', 'based-on-comic', 'tv-special', 'fight', 'violence', 'magnet', 'web', 'claw', 'laser')",5
kt,kt.kind = 'movie',50
mi_idx,mi_idx.info > '8.0',13
mi_idx,mi_idx.info > '5.0',9
mi_idx,mi_idx.info > '2.0',7
mi_idx,mi_idx.info > '7.0',13
mi_idx,mi_idx.info > '6.0',5
mi_idx,mi_idx.info > '9.0',2
mi_idx,mi_idx.info > '6.5',1
t,t.production_year > 2005,10
t,t.production_year > 1990,8
t,t.production_year > 2000,25
t,t.production_year > 2009,1
t,t.production_year > 2010,2
t,t.production_year > 1950,3
t,t.production_year > 2008,1
