Table,Condition,Frequency
cn,cn.country_code = '[us]',46
cn,cn.country_code = '[ru]',1
cn,cn.country_code = '[nl]',1
cn,cn.country_code = '[jp]',2
k,k.keyword = 'character-name-in-title',31
k,k.keyword = 'computer-animation',2
k,k.keyword = 'sequel',11
k,k.keyword = 'marvel-cinematic-universe',6
n,n.name LIKE 'B%',1
n,n.name LIKE '%D%',4
n,n.name LIKE '%Q%',1
n,n.name LIKE '%F%',2
n,n.name LIKE '%S%',1
n,n.name LIKE 'G%',1
n,n.name LIKE 'L%',1
n,n.name LIKE 'D%',1
n,n.name LIKE '%A%',1
n,n.name LIKE '%G%',5
n,n.name LIKE '%C%',2
n,n.name LIKE '%T%',2
n,n.name LIKE '%K%',4
n,n.name LIKE '%N%',1
n,n.name LIKE 'C%',1
n,n.name LIKE '%H%',1
n,n.name LIKE '%L%',2
n,n.name LIKE 'F%',2
n,n.name LIKE '%Angel%',2
n,n.name LIKE 'A%',2
n,n.name LIKE '%Ang%',1
n,n.name LIKE 'H%',1
n,n.name LIKE '%I%',2
n,n.name LIKE '%B%',1
n,n.name LIKE '%Downey%Robert%',2
n,n.name LIKE '%P%',1
n,n.name LIKE '%Yo%',1
n,n.name LIKE 'J%',1
n,n.name LIKE '%M%',1
n,n.name LIKE '%An%',1
n,n.name LIKE 'I%',1
