Table,Condition,Frequency
k,k.keyword LIKE '%n%',2
k,k.keyword LIKE '%d%',6
k,k.keyword LIKE '%y%',3
k,k.keyword LIKE '%drug%',1
k,k.keyword LIKE '%e%',4
k,k.keyword LIKE '%oral%',4
k,k.keyword LIKE '%nudity%',2
k,k.keyword LIKE '%sex%',2
k,k.keyword LIKE '%s%',3
k,k.keyword LIKE '%a%',3
k,k.keyword LIKE '%anal%',4
k,k.keyword LIKE '%of%',1
k,k.keyword LIKE '%o%',3
k,k.keyword LIKE '%t%',2
k,k.keyword LIKE '%r%',2
k,k.keyword LIKE '%i%',2
k,k.keyword LIKE '%c%',1
k,k.keyword LIKE '%x%',3
k,k.keyword LIKE '%female%',1
k,k.keyword LIKE '%british%',1
mi,"mi.info IN ('Color', 'English', 'English', 'English', 'English')",1
mi,"mi.info IN ('Roger: That fuckin'' bitch has fangs and she''s angrier than my first fuckin'' wife!', 'May the best moves win again.', 'A blackout leaves the distinguished halls of the L̦wanderska Hospital in complete darkness. Doctor Sverker L̦wander hears the alarm when one of the ventilators go off, and rushes to the intensive care unit only to find the nurse in charge dead in the stairwell and the other disappeared without a trace. When DI Irene Huss arrives, the only witness claims to have seen Nurse Tekla doing her rounds. There''s only one slight problem: Nurse Tekla committed suicide at the hospital sixty years ago.', 'Examines Chicago''s ever-growing population of stray and feral cats. Combating over-population are three cat trappers, one of which a animal behaviorist. Observation of the trappers and their trap, neuter, and return methods lead to unusual insights.', 'The songs in this countdown were ranked by fan feedback at the Big Idea website.')",1
mi,"mi.info IN ('USA:87', 'Flesh Evil - Il male nella carne (Uncut version) 147''', 'Image', '109', 'Sheriff Duncan: What in the hell could of done that?::Agent Hannigan: I don''t know, I don''t even want to guess.::Sheriff Duncan: Okay, this is gonna sound crazy, but you know that old urban legend,you know, with the alligator in the sewer?... Gettin'' flushed down the toilet?... And it grows to gigantic proportions...?::Agent Hannigan: You''ve been watching too many crappy horror movies, Sheriff.')",1
mi,"mi.info IN ('USA', 'USA', 'USA', 'USA', 'USA')",5
mi,"mi.info IN ('Color', 'Color', 'Color', 'Color', 'Color')",9
mi,"mi.info IN ('Color', 'USA', 'English', 'Color', 'Adult')",1
mi,"mi.info IN ('Adult', 'Color', 'Adult', 'USA', 'Adult')",1
mi,"mi.info IN ('USA', 'English', 'USA', 'English', 'English')",1
mi,"mi.info IN ('USA', 'USA:2005', 'English', 'English', 'Color')",1
mi,"mi.info IN ('English', 'English', 'English', 'English', 'English')",5
mi,"mi.info IN ('USA', 'Short', 'English', 'Color', 'Short')",1
mi,"mi.info IN ('Documentary', 'USA:X', 'Documentary', 'USA:X', 'Documentary')",1
mi,"mi.info IN ('USA:X', 'USA:X', 'Documentary', 'Documentary', 'Documentary')",1
mi,"mi.info IN ('Color', 'Color', 'English', 'English', 'English')",1
mi,"mi.info IN ('Documentary', 'Documentary', 'Documentary', 'Documentary', 'Documentary')",1
mi,"mi.info IN ('English', 'Short', 'Short', 'Color', 'USA')",1
mi,"mi.info IN ('English', 'Color', 'English', 'USA', 'Color')",1
mi,"mi.info IN ('USA:X', 'Documentary', 'Documentary', 'Documentary', 'Documentary')",1
mi,"mi.info IN ('Color', 'Color', 'Color', 'USA', 'Color')",1
mi,"mi.info IN ('PLOT: In the Lester cut, the Phantom Zone is destroyed via an exploding elevator equipped with a hydrogen-bomb which Superman hurls out into space. In this, the Richard Donner cut, the Phantom Zone is destroyed by the cruise missile Lex Luthor launched towards New Jersey, which Superman intercepted and hurled out into space as the second missile hit California. However, at the end of the first film, Superman reversed time which (supposedly) caused both missiles from originally being launched. In which case, where does the missile come from?', 'Dusty is a silver/gray-hued Siberian Husky.', 'In addition to being killed off in earlier drafts, one draft of the script featured a funeral for Duke.', 'All scenes filmed in the Director''s own home.', '[first lines]::Jor-El: Throughout recorded history the people of Krypton have existed in perfect harmony with one another, with our planet. But that precious balance would have been undermined if had General Zod, our own security minister, succeeded in his plan to start a new order. This new order, as he calls it, would have sown chaos throughout the planet. Turning our own good people of Krypton against the ruling council of elders, disposing of eons of diplomatic principles. If Zod''s plan had worked, the people of Krypton would have not only accepted this tyranny, they would have begged for it. I now place the fate of these three in the hands of the ruling council. What say you?')",1
mi,"mi.info IN ('English', 'Color', 'English', 'English', 'English')",1
mi,"mi.info IN ('Color', 'Color', 'Color', 'Color', 'USA')",1
mi,"mi.info IN ('English', 'English', 'English', 'English', 'Color')",1
mi,"mi.info IN ('USA', 'USA', 'USA', 'Color', 'USA')",1
mi,"mi.info IN ('Adult', 'Adult', 'Adult', 'Adult', 'Adult')",2
mi,"mi.info IN ('USA', 'USA', 'English', 'English', 'USA')",1
mi,"mi.info IN ('Color', 'Adult', 'USA', 'Adult', 'Color')",1
