Table,Condition,Frequency
cct1,"cct.kind IN ('cast', 'cast', 'cast', 'cast', 'cast')",27
cct1,"cct.kind IN ('crew', 'crew', 'crew', 'crew', 'crew')",23
cct2,cct.kind = 'complete+verified',32
cct2,cct.kind = 'complete',18
ci,"ci.note IN ('(associate producer)', '(voice)', '(archive footage)', '(story editor)', '(supervising producer)')",1
ci,"ci.note IN ('(producer)', '(producer)', '(producer)', '(producer)', '(uncredited)')",1
ci,"ci.note IN ('(written by)', '(written by)', '(creator)', '(written by)', '(written by)')",2
ci,"ci.note IN ('(producer)', '(producer)', '(producer)', '(producer)', '(producer)')",9
ci,"ci.note IN ('(voice)', '(executive producer)', '(voice)', '(voice)', '(producer)')",1
ci,"ci.note IN ('(writer)', '(writer)', '(voice)', '(producer)', '(writer)')",1
ci,"ci.note IN ('(production assistant)', '(production assistant)', '(executive producer)', '(executive producer)', '(production assistant)')",1
ci,"ci.note IN ('(associate producer)', '(writer)', '(production assistant)', '(writer)', '(writer)')",1
ci,"ci.note IN ('(screenplay)', '(associate producer)', '(archive footage)', '(story)', '(archive footage)')",2
ci,"ci.note IN ('(production assistant) (1980s)', '(screenplay contributor)', '(production assistant) (as Sharre'' Jacoby)', '(co-producer) (version ""Apocalypse Now Redux (2001)"")', '(executive producer)')",1
ci,"ci.note IN ('(executive producer)', '(executive producer)', '(executive producer)', '(voice)', '(voice)')",1
ci,"ci.note IN ('(voice)', '(producer)', '(voice)', '(producer)', '(voice)')",1
ci,"ci.note IN ('(screenplay)', '(written by)', '(director of photography)', '(creator)', '(director of photography)')",1
ci,"ci.note IN ('(executive producer)', '(voice)', '(associate producer)', '(associate producer)', '(writer)')",1
ci,"ci.note IN ('(voice)', '(production assistant)', '(production assistant)', '(voice)', '(voice)')",1
ci,"ci.note IN ('(executive producer)', '(producer)', '(writer)', '(executive producer)', '(uncredited)')",1
ci,"ci.note IN ('(location manager)', '(voice)', '(screenplay)', '(location manager)', '(written by)')",1
ci,"ci.note IN ('(executive producer)', '(written by)', '(writer)', '(voice)', '(executive producer)')",1
ci,"ci.note IN ('(associate producer)', '(script supervisor)', '(written by)', '(production assistant)', '(voice)')",1
ci,"ci.note IN ('(as Hideo Shimado)', '(production executive)', '(as Marghe Sala)', '(as Mini Aguilar)', '(associate producer)')",1
ci,"ci.note IN ('(uncredited)', '(uncredited)', '(uncredited)', '(uncredited)', '(uncredited)')",5
ci,"ci.note IN ('(director of photography)', '(written by)', '(location manager)', '(story)', '(creator)')",1
ci,"ci.note IN ('(executive producer)', '(writer)', '(uncredited)', '(uncredited)', '(uncredited)')",1
ci,"ci.note IN ('(animal handler) (as Christie Miele)', '(technical advisor) (as John Newman)', '(advisor: final sequence) (uncredited)', '(voice) (as Tod Oleson)', '(production assistant)')",1
ci,"ci.note IN ('(archive footage)', '(story)', '(screenplay)', '(screenplay)', '(associate producer)')",1
ci,"ci.note IN ('(producer)', '(voice)', '(producer)', '(producer)', '(voice)')",1
ci,"ci.note IN ('(producer)', '(producer)', '(producer)', '(voice)', '(producer)')",1
ci,"ci.note IN ('(voice)', '(voice)', '(voice)', '(voice)', '(voice)')",1
ci,"ci.note IN ('(writer)', '(writer)', '(writer)', '(writer)', '(writer)')",1
ci,"ci.note IN ('(uncredited)', '(producer)', '(executive producer)', '(producer)', '(producer)')",1
ci,"ci.note IN ('(producer)', '(producer)', '(uncredited)', '(uncredited)', '(uncredited)')",1
ci,"ci.note IN ('(voice)', '(uncredited)', '(uncredited)', '(uncredited)', '(voice)')",1
ci,"ci.note IN ('(producer)', '(producer)', '(producer)', '(uncredited)', '(uncredited)')",1
ci,"ci.note IN ('(executive producer)', '(executive producer)', '(uncredited)', '(executive producer)', '(executive producer)')",1
ci,"ci.note IN ('(voice)', '(voice)', '(voice)', '(voice)', '(producer)')",1
ci,"ci.note IN ('(screenplay)', '(production coordinator)', '(archive footage)', '(screenplay)', '(story editor)')",1
it_mi,it.info = 'countries',22
it_mi,it.info = 'genres',28
it_miidx,it.info = 'rating',19
it_miidx,it.info = 'votes',8
it_miidx,it.info = 'votes distribution',15
it_miidx,it.info = 'top 250 rank',8
k,"k.keyword IN ('based-on-play', 'based-on-play', 'number-in-title', 'based-on-play', 'number-in-title')",1
k,"k.keyword IN ('murder', 'murder', 'murder', 'murder', 'murder')",7
k,"k.keyword IN ('sex', 'sex', 'sex', 'sex', 'sex')",7
k,"k.keyword IN ('liquid-oxygen', 'hit-on-the-head-with-a-frying-pan', 'oil-well', 'sex-hospital', 'dead-language')",1
k,"k.keyword IN ('based-on-novel', 'based-on-novel', 'based-on-novel', 'based-on-novel', 'based-on-novel')",6
k,"k.keyword IN ('character-name-in-title', 'independent-film', 'independent-film', 'character-name-in-title', 'independent-film')",2
k,"k.keyword IN ('female-nudity', 'female-nudity', 'female-nudity', 'female-nudity', 'female-nudity')",6
k,"k.keyword IN ('father-son-relationship', 'female-frontal-nudity', 'lesbian-sex', 'one-word-title', 'revenge')",1
k,"k.keyword IN ('independent-film', 'character-name-in-title', 'independent-film', 'character-name-in-title', 'character-name-in-title')",1
k,"k.keyword IN ('surrealism', 'father-son-relationship', 'blood', 'rape', 'one-word-title')",1
k,"k.keyword IN ('character-name-in-title', 'independent-film', 'character-name-in-title', 'independent-film', 'independent-film')",1
k,"k.keyword IN ('manson-family', 'carmen-miranda-impersonator', 'bobsledding', 'fording-a-river', 'shoeshine-stand')",1
k,"k.keyword IN ('megaphone', 'clerical-collar', 'mixed-media', 'hypodermic-needle', 'damaged-car')",1
